strongs	hebrew	translit	gloss
4579	מָעָה	me.ah	grain
4580	מָעוֹג	ma.og	bun
4581	מָעוֹז	ma.oz	security
4582	מָעוֹךְ	ma.okh	Maoch
4583	מָעוֹן	ma.on	habitation
4584	מָעוֹן	ma.on	Maon
4585	מְעֹנָה	me.o.nah	habitation
4586	מְעוּנִים	me.u.ni	Meunite
4587	מְעוֹנֹתַי	me.o.no.tay	Meonothai
4588	מָעוּף	ma.uph	gloom
4589	מָעוֹר	ma.or	nakedness
4590	מוֹעַדְיָה	mo.ad.yah	Moadiah
4591	מָעַט	ma.at	to diminish
4592	מְעַט	me.at	little
4593	מָעֹט	ma.ot	sharp
4594	מַעֲטֶה	ma.a.teh	mantle
4595	מַעֲטָפָה	ma.a.ta.phah	overtunic
4596	מְעִי	me.i	heap
4597	מָעַי	ma.ay	Maai
4598	מְעִיל	me.il	robe
4599	מַעְיָן	ma.yan	spring
4600	מָעַךְ	ma.akh	to bruise
4601	מִיכָיָ֫הוּ	mi.kha.ya.hu	Micaiah
4603	מָעַל	ma.al	be unfaithful
4604	מַ֫עַל	ma.al	unfaithfulness
4605	מַ֫עַל	ma.al	above
4606	מֶעָל	me.al	going down
4607	מֹ֫עַל	mo.al	lifting
4608	מַעֲלֶה	ma.a.leh	ascent
4609	מַעֲלָה	ma.a.lah	thought
4610	עַקְרַבִּים	ma.a.leh aq.rab.bim	Akrabbim
4611	מַעֲלָל	ma.a.lal	deed
4612	מַעֲמָד	ma.a.mad	office
4613	מׇעֳמָ֑ד	mo.o.mad	foothold
4614	מַעֲמָסָה	ma.a.ma.sah	burden
4615	מַעֲמַקִּים	ma.a.maq	deep
4616	מַ֫עַן	ma.an	because
4617	מַעֲנֶה	ma.a.neh	answer
4618	מַעֲנָה	ma.a.nah	furrow
4619	מַ֫עַץ	ma.ats	Maaz
4620	מַעֲצֵבָה	ma.a.tse.vah	torment
4621	מַעֲצָד	ma.a.tsad	axe
4622	מַעְצוֹר	ma.tsor	restraint
4623	מַעְצָר	ma.tsar	restraint
4624	מַעֲקֶה	ma.a.qeh	parapet
4625	מַעֲקָשׁ	ma.a.qash	crooked place
4626	מַעַר	ma.ar	nakedness
4627	מַעֲרָב	ma.a.rav	merchandise
4628	מַעֲרָב	ma.a.rav	west
4629	גֶּ֫בַע	ge.va	(Maareh)-geba
4631	מְעָרָה	me.a.rah	cave
4632	מְעָרָה	me.a.rah	Mearah
4633	מַעֲרָךְ	ma.a.rakh	plan
4634	מַעֲרָה	ma.a.rah	army
4635	מַעֲרֶ֫כֶת	ma.a.re.khet	row
4636	מַעֲרֹם	ma.a.rom	naked
4637	מַעֲרָצָה	ma.a.ra.tsah	terror
4638	מַעֲרָת	ma.a.rat	Maarath
4639	מַעֲשֶׂה	ma.a.seh	deed: work
4640	מַעֲשַׂי	ma.a.say	Maasai
4641	מַעֲשֵׂיָהוּ	ma.a.se.yah	Maaseiah
4642	מַעֲשַׁקָּה	ma.a.shaq.qah	oppression
4643	מַעֲשֵׂר	ma.a.ser	tithe
4645	מִפְגָּע	miph.ga	target
4646	מַפָּח	map.pach	exhalation
4647	מַפֻּחַ	map.pu.ach	bellow
4648	מְפִיבֹשֶׁת	me.phi.vo.shet	Mephibosheth
4649	מֻפִּים	mup.pim	Muppim
4650	מֵפִיץ	me.phits	war-club
4651	מַפָּל	map.pal	refuse
4652	מִפְלָאָה	miph.la.ah	wonder
4653	מִפְלַגָּה	miph.lag.gah	division
4654	מַפָּלָה	map.pa.lah	ruin
4655	מִפְלָט	miph.lat	escape
4656	מִפְלֶ֫צֶת	miph.le.tset	horror
4657	מִפְלָשׂ	miph.la.s	swaying
4658	מַפֶּ֫לֶת	map.pe.let	carcass
4659	מִפְעָל	miph.al	work
4660	מַפָּץ	map.pats	shattering
4661	מַפֵּץ	map.pets	war-club
4662	מִפְקָד	miph.qad	Muster (Gate)
4664	מִפְרָץ	miph.rats	landing
4665	מַפְרֶקֶת	miph.re.qet	neck
4666	מִפְרָשׂ	miph.ra.s	spreading
4667	מִפְשָׂעָה	miph.sa.ah	hip
4668	מַפְתֵּחַ	maph.te.ach	key
4669	מִפְתָּח	miph.tach	opening
4670	מִפְתָּן	miph.tan	threshold
4671	מוֹץ	mots	chaff
4672	מָצָא	ma.tsa	to find
4673	מַצָּב	mats.tsav	station
4674	מֻצָּב	muts.tsav	entrenchment
4675	מִצָּבָה	mats.tsa.vah	guard
4676	מַצֵּבָה	mats.tse.vah	pillar
4677	מְצֹבָיָה	me.tso.va.yah	Mezobaite
4678	מַצֶּבֶת	mats.tse.vet	pillar
4679	מְצָד	me.tsad	stronghold
4680	מָצָה	ma.tsah	to drain
4681	מֹצָה	mo.tsah	Mozah
4682	מַצָּה	mats.tsah	unleavened bread
4683	מַצָּה	mats.tsah	strife
4684	מַצְהָלָה	mats.ha.lah	neighing
4685	מָצוֹד	ma.tsod	siegework
4686	מְצוּדָה	ma.tsu.dah	net
4687	מִצְוָה	mits.vah	commandment
4688	מְצוֹלָה	me.tso.lah	depth
4689	מָצוֹק	ma.tsoq	distress
4690	מָצוּק	ma.tsuq	pillar
4691	מְצוּקָה	me.tsu.qah	distress
4692	מָצוֹר	ma.tsor	siege
4694	מְצוּרָה	me.tsu.rah	fortress
4695	מַצּוּת	mats.tsut	strife
4696	מֵ֫צַח	me.tsach	forehead
4697	מִצְחָה	mits.chah	greave
4698	מְצִלָּה	me.tsil.lah	bell
4699	מְצֻלָה	me.tsul.lah	ravine
4700	מְצִלְתַּיִם	me.tse.let	cymbal
4701	מִצְנֶ֫פֶת	mits.ne.phet	turban
4702	מַצָּע	mats.tsa	bed
4703	מִצְעָד	mits.ad	step
4704	מִצְּעִירָה	mits.ts.i.rah	little
4705	מִצְעָר	mits.ar	little
4706	מִצְעָר	mits.ar	(Mount) Mizar
4707	מִצְפֶּה	mits.peh	lookout
4708	מִצְפֶּה	mits.peh	Mizpeh
4709	בִּקְעָה	biq.ah	(Mizpah) Valley
4710	מַצְפּוֹן	mits.pun	treasure
4711	מָצַץ	ma.tsats	to drink deeply
4712	מֵצַר	me.tsar	terror
4714	מָצוֹר	ma.tsor	Egypt
4715	מַצְרֵף	mits.reph	crucible
4716	מַק	maq	decay
4718	מַקָּבָה	maq.qa.vah	hammer
4719	מַקֵּדָה	maq.qe.dah	Makkedah
4720	מִקְדָּשׁ	miq.dash	sanctuary
4721	מַקְהֵל	maq.hel	assembly
4722	מַקְהֵלֹת	maq.he.lot	Makheloth
4723	קֹוֶה	qo.veh	Kue
4724	מִקְוָה	miq.vah	reservoir
4725	מָקוֹם	ma.qom	place
4726	מָקוֹר	ma.qor	fountain
4727	מִקָּח	miq.qach	taking
4728	מַקָּחָה	maq.qa.chah	ware
4729	מִקְטָר	miq.tar	fumigation
4730	מִקְטֶ֫רֶת	miq.te.ret	censer
4731	מַקֵּל	maq.qel	rod
4732	מִקְלוֹת	miq.lot	Mikloth
4733	מִקְלָט	miq.lat	refuge
4734	מִקְלַ֫עַת	miq.la.at	engraving
4735	מִקְנֶה	miq.neh	livestock
4736	מִקְנָה	miq.nah	purchase
4737	מִקְנֵיָ֫הוּ	miq.ne.ya.hu	Mikneiah
4738	מִקְסָם	miq.sam	divination
4739	מָקַץ	ma.qats	Makaz
4740	מִקְצֹעַ	maq.tso.a	Angle
4741	מַקְצֻעָה	maq.tsu.ah	plane
4743	מָקַק	ma.qaq	to rot
4744	מִקְרָא	miq.ra	assembly
4745	מִקְרֶה	miq.reh	accident
4746	מְקָרֶה	me.qa.reh	rafter
4747	מְקֵרָה	me.qe.rah	cool
4748	מִקְשֶׁה	miq.sheh	hairstyle
4749	מִקְשָׁה	miq.shah	beating
4750	מִקְשָׁה	miq.shah	cucumber field
4751	מַר	mar	bitter
4752	מַר	mar	drop
4753	מֹר	mor	myrrh
4754	מָרָא	ma.ra	to flap
4756	מָרֵא	ma.re	lord
4758	מַרְאֶה	mar.eh	appearance
4759	מַרְאָה	mar.ah	vision
4760	מֻרְאָה	mur.ah	crop
4762	מָרֵשָׁה	mar.e.shah	Mareshah
4763	מְרַאֲשָׁוֹת	mar.a.shah	head
4764	מִיכַל	mi.khal	Merab
4765	מַרְבָד	mar.vad	covering
4766	מַרְבֶה	mar.veh	abundance
4767	מִרְבָּה	mir.bah	much
4768	מַרְבִּית	mar.bit	greatness
4769	מַרְבֵּץ	mar.bets	resting
4770	מַרְבֵּק	mar.beq	stall
4771	מַרְגּוֹעַ	mar.go.a	rest
4772	מַרְגְּלוֹת	mar.ge.lah	feet
4773	מַרְגֵּמָה	mar.ge.mah	sling
4774	מַרְגֵּעָה	mar.ge.ah	repose
4775	מָרַד	ma.rad	to rebel
4777	מְרַד	me.rad	rebellion
4778	מֶ֫רֶד	me.red	Mered
4779	מָרָד	ma.rad	rebellious
4780	מַרְדּוּת	mar.dut	rebellious
4781	מְרֹדָךְ	me.ro.dakh	Merodach
4782	מׇרְדֳּכַי	mor.de.khay	Mordecai
4783	מֻרְדָּף	mur.daph	persecution
4784	מָרָה	ma.rah	to rebel
4785	מָרָה	ma.rah	Marah
4786	מֹרָה	mo.rah	bitterness
4787	מׇרָּה	mor.rah	bitterness
4788	מָרוֹד	ma.rud	wandering
4789	מֵרוֹז	me.roz	Meroz
4790	מְרוֹחַ	me.ro.ach	crushed
4791	מָרוֹם	ma.rom	height
4792	מֵרוֹם	me.rom	Merom
4793	מֵרוֹץ	me.rots	race
4794	מְרוּצָה	me.ru.tsah	running
4795	מָרוּק	ma.ruq	rubbing
4796	מָרוֹת	ma.rot	Maroth
4797	מִרְזַח	mir.zach	banquet
4798	מַרְזֵחַ	mar.ze.ach	mourning
4799	מָרַח	ma.rach	to rub
4800	מֶרְחָב	mer.chav	broad
4801	מֶרְחָק	mer.chaq	distance
4802	מַרְחֶ֫שֶׁת	mar.che.shet	pan
4803	מוֹרָט	mo.rat	to peel
4805	מְרִי	me.ri	rebellion
4806	מְרִיא	me.ri	fatling
4808	מְרִיבָה	me.ri.vah	provocation
4809	מְרִיבָה	me.ri.vah	Meribah
4811	מְרָיָה	me.ra.yah	Meraiah
4812	מְרָיוֹת	me.ra.vot	Meraioth
4813	מִרְיָם	mir.yam	Miriam
4814	מְרִירוּת	me.ri.rut	bitterness
4815	מְרִירִי	me.ri.ri	bitter
4816	מֹ֫רֶךְ	mo.rekh	weakness
4817	מֶרְכָּב	mer.kav	chariot
4818	מֶרְכָּבָה	mer.ka.vah	chariot
4819	מַרְכֹּ֫לֶת	mar.ko.let	market
4820	מִרְמָה	mir.mah	deceit
4821	מִרְמָה	mir.mah	Mirmah
4822	מְרָיוֹת	me.ra.vot	Meraioth
4823	מִרְמָס	mir.mas	trampling
4824	מֵרֹנֹתִי	me.ro.no.ti	Meronothite
4825	מֶ֫רֶס	me.res	Meres
4826	מַרְסְנָא	mar.se.na	Marsena
4827	מֵרַע	me.ra	mischief
4828	מֵרֵעַ	me.re.a	companion
4829	מִרְעֶה	mir.eh	pasture
4830	מַרְעִית	mir.it	pasturing
4831	מַרְעֲלָה	mar.a.lah	Mareal
4832	מַרְפֵּא	mar.pe	healing
4833	מַרְפֵּשׂ	mir.pa.s	mud
4834	מָרַץ	ma.rats	be sick
4835	מְרוּצָה	me.ru.tsah	oppression
4836	מַרְצֵעַ	mar.tse.a	awl
4837	מַרְצֶ֫פֶת	mar.tse.phet	pavement
4838	מָרַק	ma.raq	to polish
4839	מָרָק	ma.raq	broth
4840	מֶרְקָח	mer.qach	spice
4841	מֶרְקָחָה	mer.qa.chah	ointment pot/seasoning
4842	מִרְקַ֫חַת	mir.qa.chat	ointment
4843	מָרַר	ma.rar	to provoke
4844	מָרֹר	me.ror	bitterness
4845	מְרֵרָה	me.re.rah	gall
4846	מְרֹרָה	me.ro.rah	gall
4847	מְרָרִי	me.ra.ri	Merari
4849	מִרְשַׁ֫עַת	mir.sha.at	wickedness
4851	מַשׁ	mash	Mash
4852	מֵשָׁא	me.sah	Mesha
4853	מַשָּׂא	mas.sa	burden
4854	מַשָּׂא	mas.sa	Massa
4855	מַשָּׁא	mash.sah	interest
4856	מַשֹּׂא	mas.so	respect
4857	מַשְׁאָב	mash.av	well
4858	מַשָּׂאָה	mas.sa.ah	smoke
4859	מַשָּׁאָה	mash.sha.ah	loan
4860	מַשָּׁאוֹן	mash.sha.on	guile
4861	מִשְׁאָל	mish.al	Mishal
4862	מִשְׁאָלָה	mish.a.lah	petition
4863	מִשְׁאֶ֫רֶת	mish.e.ret	kneading
4864	מַשְׂאֵת	mas.et	tribute
4865	מִשְׁבְּצוֹת	mish.be.tsah	filigree
4866	מַשְׁבֵּר	mish.ber	birth
4867	מִשְׁבָּר	mish.bar	wave
4868	מִשְׁבָּת	mish.bat	annihilation
4869	מִשְׂגָּב	mis.gav	high refuge
4870	מִשְׁגֶּה	mish.geh	mistake
4871	מָשָׁה	ma.shah	to draw
4872	מְנַשֶּׁה	me.nash.sheh	Moses
4874	מַשֶּׁה	mash.sheh	loan
4875	מְשׁוֹאָה	me.sho.ah	desolation
4876	מַשּׁוּאָה	mash.shu.ah	desolation
4877	מְשׁוֹבָב	me.sho.vav	Meshobab
4878	מְשׁוּבָה	me.shu.vah	faithlessness
4879	מְשׁוּגָה	me.shu.gah	error
4880	מָשׁוֹט	ma.shot	oar
4881	מְשֻכָֿה	me.su.khah	hedge
4883	מַשּׂוֹר	mas.s.vor	saw
4884	מְשׂוּרָה	me.su.rah	capacity
4885	מָשׂוֹשׂ	ma.s.vo.s	rejoicing
4886	מָשַׁח	ma.shach	to anoint
4887	מְשַׁח	me.shach	oil
4888	מִשְׁחָה	mish.chah	anointing
4889	מַשְׁחִית	mash.chit	destruction
4890	מִשְׂחַק	mis.chaq	laughing
4891	מִשְׁחָר	mish.char	dawn
4892	מַשְׁחֵת	mash.chet	destruction
4893	מִשְׁחַת	mish.chat	mutilation
4894	מִשְׁטָח	mish.tach	spreading-place
4895	מַשְׂטֵמָה	mas.te.mah	hatred
4896	מִשְׁטָר	mish.tar	rule
4897	מֶ֫שִׁי	me.shi	silk
4898	מְשֵׁיזַבְאֵל	me.she.zav.el	Meshezabel
4899	מָשִׁיחַ	ma.shi.ach	anointed
4900	מָשַׁךְ	ma.shakh	to draw
4901	מֶ֫שֶׁךְ	me.shekh	bag/price
4902	מֶ֫שֶׁךְ	me.shekh	Meshech
4904	מִשְׁכַּב	mish.kav	bed
4905	מַשְׂכִּיל	mas.kil	Maskil
4906	מַשְׂכִּית	mas.kit	figure
4908	מִשְׁכַּן	mish.kan	habitation
4909	מַשְׂכֹּ֫רֶת	mas.ko.ret	wage
4910	מָשַׁל	ma.shal	to rule
4911	מָשַׁל	ma.shal	to liken
4912	מָשָׁל	ma.shal	proverb
4914	מְשֹׁל	me.shol	byword
4915	מֹ֫שֶׁל	mo.shel	likeness
4916	מִשְׁלַח	mish.lach	sending
4917	מִשְׁלַ֫חַת	mish.la.chat	deputation
4918	אַחְזַי	ach.zay	Ahzai
4919	מְשִׁלֵּמוֹת	me.shil.le.mot	Meshillemoth
4920	מְשֶׁלֶמְיָהוּ	me.she.lem.yah	Meshelemiah
4921	מְשִׁלֵּמוֹת	me.shil.le.mot	Meshillemoth
4922	מְשֻׁלֶּ֫מֶת	me.shul.le.met	Meshullemeth
4923	מְשַׁמָּה	me.sham.mah	devastation
4924	שָׁמָן	she.man	fat
4925	מִשְׁמַנָּה	mish.man.nah	Mishmannah
4926	מִשְׁמָע	mish.ma	hearing
4927	מִשְׁמָע	mish.ma	Mishma
4928	מִשְׁמַ֫עַת	mish.ma.at	guard
4929	מִשְׁמָר	mish.mar	custody
4930	מַשְׂמְרָה	mas.m.rah	nail
4931	מִשְׁמֶ֫רֶת	mish.me.ret	charge
4932	מִשְׁנֶה	mish.neh	Second [Quarter]
4933	מְשׁוּסָה	me.shu.sah	spoil
4934	מִשְׁעוֹל	mish.ol	passage
4935	מִשְׁעִי	mish.i	cleansing
4936	מִשְׁעָם	mish.am	Misham
4937	מִשְׁעָן	mish.an	support
4938	מִשְׁעֵנָה	mish.e.nah	support
4939	מִשְׂפָּח	mis.pach	bloodshed
4940	מִשְׁפָּחָה	mish.pa.chah	family
4941	מִשְׁפָּט	mish.pat	justice: judgement
4942	מִשְׁפְּתַ֫יִם	mish.pat	sheepfold
4943	מֶ֫שֶׁק	me.sheq	acquisition
4944	מַשָּׁק	mash.shaq	rushing
4945	מַשְׁקֶה	mash.qeh	irrigation
4946	מִשְׁקוֹל	mish.qol	weight
4947	מַשְׁקוֹף	mash.qoph	lintel
4948	מִשְׁקָל	mish.qal	weight
4949	מִשְׁקֶ֫לֶת	mish.qe.let	level
4950	מִשְׁקָע	mish.qa	clarified
4951	מִשְׂרָה	mis.rah	dominion
4952	מִשְׁרָה	mish.rah	juice
4953	מַשְׁרוֹקִי	mash.ro.qi	flute
4954	מִשְׁרָעִי	mish.ra.i	Mishraite
4955	מִשְׂרָפָה	mis.ra.phah	burning
4956	מִשְׂרְפוֹת מַיִם	mis.r.phot ma.yim	Misrephoth-maim
4957	מַשְׂרֵקָה	mas.re.qah	Masrekah
4958	מַשְׂרֵת	mas.ret	pan
4959	מָשַׁשׁ	ma.shash	to feel
4960	מִשְׁתֶּה	mish.teh	feast
4962	מַת	mat	man
4963	מַתְבֵּן	mat.ben	straw
4964	מֶ֫תֶג	me.teg	bridle
4966	מָתוֹק	ma.toq	sweet
4967	מְתוּשָׁאֵל	me.tu.sha.el	Methushael
4968	מְתוּשֶׁ֫לַח	me.tu.she.lach	Methuselah
4969	מָתַח	ma.tach	to spread
4970	מָתַי	ma.tay	how
4971	מַתְכֹ֫נֶת	mat.kho.net	tally
4972	מַתְּלָאָה	mat.t.la.ah	weariness
4973	מַלְתָּעָה	mal.ta.ah	tooth
4974	מְתֹם	me.tom	soundness
4975	מׇתְנַ֫יִם	mo.ten	loin
4976	מַתָּן	mat.tan	gift
4977	מַתָּן	mat.tan	Mattan
4979	מַתְּנָא	mat.t.na	gift
4980	מַתָּנָה	mat.ta.nah	Mattanah
4981	מִתְנִי	mit.ni	Mithnite
4982	מַתְּנַי	mat.t.nay	Mattenai
4983	מַתַּנְיָ֫הוּ	mat.tan.yah	Mattaniah
4985	מָתֹק	ma.taq	be sweet
4986	מֶ֫תֶק	me.teq	sweetness
4987	מֹ֫תֶק	mo.teq	sweetness
4989	מִתְקָה	mit.qah	Mithkah
4990	מִתְרְדָת	mit.re.dat	Mithredath
4991	מַתַּת	mat.tat	gift
4992	מַתַּתָּה	mat.tat.tah	Mattattah
4993	מַתִּתְיָ֫הוּ	mat.tit.yah	Mattithiah
4994	נָא	na	please
4995	נָא	na	raw
4996	נֹא	no	Thebes
4997	נֹאד	nod	wineskin
4998	נָאָה	na.ah	be lovely
4999	נָוָה	na.ah	habitation
5000	נָאוֶה	na.eh	lovely
5001	נָאַם	na.am	to prophesy
5002	נְאֻם	ne.um	utterance
5003	נָאַף	na.aph	to commit adultery
5004	נִאֻף	ni.uph	adultery
5005	נַאֲפוּף	na.a.phuph	adultery
5006	נָאַץ	na.ats	to spurn
5007	נְאָצָה	ne.a.tsah	contempt
5008	נָאַק	na.aq	to groan
5009	נְאָקָה	ne.a.qah	groan
5010	נָאַר	na.ar	to disown
5011	נֹב	nov	Nob
5012	נָבָא	na.va	to prophesy
5014	נָבַב	na.vav	be hollow
5015	נְבוֹ	ne.vo	Nebo
5016	נְבוּאָה	ne.vu.ah	prophecy
5018	נְבוּזַרְאֲדָן	ne.vu.zar.a.dan	Nebuzaradan
5019	נְבוּכַדְרֶאצַּר, נְבוּכַדְנֶצַּר	ne.vu.khad.nets.tsar	Nebuchadnezzar
5021	נְבוּשַׁזְבָּן	ne.vu.shaz.ban	Nebushazban
5022	נָבוֹת	na.vot	Naboth
5023	נְבִזְבָּה	ne.viz.bah	reward
5024	נָבַח	na.vach	to bark
5025	נֹ֫בַח	no.vach	Nobah
5026	נִבְחַז	niv.chaz	Nibhaz
5027	נָבַט	na.vat	to look
5028	נְבָט	ne.vat	Nebat
5030	נְבִיא	ne.vi	prophet
5031	נְבִיאָה	ne.vi.ah	prophetess
5032	נְבָיוֹת	ne.va.vot	Nebaioth
5033	נֵ֫בֶךְ	ne.vekh	spring
5034	נָבַל	na.val	be senseless
5035	נֵ֫בֶל	ne.vel	bag
5036	נָבָל	na.val	foolish
5037	נָבָל	na.val	Nabal
5038	נְבֵלָה	ne.ve.lah	carcass
5039	נְבָלָה	ne.va.lah	folly
5040	נַבְלוּת	nav.lut	lewdness
5041	נְבַלָּ֑ט	ne.val.lat	Neballat
5042	נָבַע	na.va	to bubble
5043	נֶבְרַשְׁתָּא	nev.re.sah	lampstand
5044	נִבְשָׁן	niv.shan	Nibshan
5045	נֶ֫גֶב	ne.gev	Negeb
5046	נָגַד	na.gad	to tell
5047	נְגַד	ne.gad	to flow
5048	נֶ֫גֶד	ne.ged	before
5050	נָגַהּ	na.gah	to shine
5051	נֹ֫גַהּ	no.gah	brightness
5052	נֹ֫גַהּ	no.gah	Nogah
5054	נְגֹהָה	ne.go.hah	brightness
5055	נָגַח	na.gach	to gore
5056	נַגָּח	nag.gach	goring
5057	נָגִיד	na.gid	leader
5058	נְגִינָה	ne.gi.nah	music
5059	נָגַן	na.gan	to play
5060	נָגַע	na.ga	to touch
5061	נֶ֫גַע	ne.ga	plague
5062	נָגַף	na.gaph	to strike
5063	נֶ֫גֶף	ne.geph	plague
5064	נָגַר	na.gar	to pour
5065	נָגַשׂ	na.ga.s	to oppress
5066	נָגַשׁ	na.gash	to approach: approach
5067	נֵד	ned	heap
5068	נָדַב	na.dav	be willing
5070	נָדָב	na.dav	Nadab
5071	נְדָבָה	ne.da.vah	voluntariness
5072	נְדַבְיָה	ne.dav.yah	Nedabiah
5073	נִדְבָּךְ	nid.bakh	layer
5074	נָדַד	na.dad	to wander
5076	נְדוּד	na.dud	tossing
5077	נָדָא	na.da	to drive away
5078	נֶ֑דֶה	ne.deh	gift
5079	נִדָּה	nid.dah	impurity
5080	נָדַח	na.dach	to banish
5081	נָדִיב	na.div	noble: willing
5082	נְדִיבָה	ne.di.vah	honor
5083	נָדָן	na.dan	gift
5084	נָדָן	na.dan	sheath
5086	נָדַף	na.daph	to drive
5087	נָדַר	na.dar	to vow
5088	נֶ֫דֶר	ne.der	vow
5089	נֹהַּ	no.ah	eminency
5090	נָהַג	na.hag	to lead
5091	נָהָה	na.hah	to wail
5092	נְהִי	ne.hi	wailing
5093	נִהְיָה	nih.yah	lament
5094	נְהִיר	ne.hir	light
5095	נָהַל	na.hal	to guide
5096	נַהֲלֹל	na.ha.lal	Nahalol
5097	נַהֲלֹל	na.ha.lol	watering
5098	נָהַם	na.ham	to groan
5099	נַ֫הַם	na.ham	roaring
5100	נְהָמָה	ne.ha.mah	groaning
5101	נָהַק	na.haq	to bray
5102	נְהִירוּ	ne.hi.ru	illumination
5104	נְהַר	ne.har	river
5105	נְהָרָה	ne.ha.rah	light
5106	נוּא	nu	to forbid
5107	נוּב	nuv	to bear fruit
5108	נוֹב	nov	fruit
5109	נוֹבָ֑י	no.vay	Nebai
5110	נוּד	nud	to wander
5112	נוֹד	nod	wandering
5113	נוֹד	nod	Nod
5115	נָוָה	na.vah	to beautify
5116	נָוֶה	na.veh	pasture
5117	יָנַח	ya.nach	to rest
5120	נוּט	nut	to shake
5121	נָוִית	na.vit	Naioth
5122	נְוָלוּ	ne.va.lu	dunghill
5123	נוּם	num	to slumber
5124	נוּמָה	nu.mah	drowsiness
5125	נוּן	nun	to propagate
5126	נוּן	nun	Nun
5127	נוּד	nud	to flee
5128	נוּעַ	nu.a	to shake
5129	נוֹעַדְיָה	no.ad.yah	Noadiah
5130	נוּף	nuph	to sprinkle
5131	נוֹף	noph	elevation
5132	נָצָה	na.tsah	to flee
5133	נוֹצָה	no.tsah	plumage
5134	נוּק	nuq	to suckle
5135	נוּר	nur	fire
5136	נוּשׁ	nush	be sick
5137	נָזָה	na.zah	to sprinkle
5138	נָזִיד	na.zid	stew
5140	נָזַל	na.zal	to flow
5141	נֶ֫זֶם	ne.zem	ring
5142	נְזַק	ne.zaq	to suffer injury
5143	נֶ֫זֶק	ne.zeq	injury
5144	נָזַר	na.zar	to dedicate
5145	נָזִיר	na.zir	Nazirite
5146	נֹחַ	no.ach	Noah
5147	נַחְבִּי	nach.bi	Nahbi
5148	נָחָה	na.chah	to lead
5150	נִחוּם	ni.chum	comfort
5151	נַחוּם	na.chum	Nahum
5152	נָחוֹר	na.chor	Nahor
5153	נָחוּשׁ	na.chush	bronze
5154	נְחוּשָׁה	ne.chu.shah	bronze
5155	נְחִילָה	ne.chi.lah	flute
5156	נָחִיר	ne.chir	nostril
5157	נָחַל	na.chal	to inherit
5158	נַ֫חַל	na.chal	torrent: river
5159	נַחֲלָה	na.cha.lah	inheritance
5161	נֶחֱלָמִי	ne.che.la.mi	Nehelam
5162	נָחַם	na.cham	to be sorry: comfort
5163	נַ֫חַם	na.cham	Naham
5164	נֹ֫חַם	no.cham	repentance
5165	נֶחָמָה	ne.cha.mah	comfort
5166	נְחֶמְיָה	ne.chem.yah	Nehemiah
5167	נַחֲמָנִי	na.cha.ma.ni	Nahamani
5169	נָחַץ	na.chats	to urge
5170	נַ֫חַר	na.char	snorting
5171	נַחֲרַי	na.cha.ray	Naharai
5172	נָחַשׁ	na.chash	to divine
5173	נַ֫חַשׁ	na.chash	divination
5175	נָחָשׁ	na.chash	serpent
5176	נָחָשׁ	na.chash	Nahash
5177	נַחְשׁוֹן	nach.shon	Nahshon
5178	נְחֹ֫שֶׁת	ne.cho.shet	bronze
5179	נְחֻשְׁתָּא	ne.chush.ta	Nehushta
5180	נְחֻשְׁתָּן	ne.chush.tan	Nehushtan
5181	נָחֵת	na.chat	to descend
5183	נַ֫חַת	na.chat	quietness
5184	נַ֫חַת	na.chat	Nahath
5185	נָחֵת	na.chet	descended
5186	נָטָה	na.tah	to stretch
5187	נָטִיל	ne.til	laden
5188	נְטִיפָה	ne.ti.phah	pendant
5189	נְטִישָׁה	ne.ti.shah	tendril
5190	נָטַל	na.tal	to lift
5192	נֵ֫טֶל	ne.tel	weight
5193	נָטַע	na.ta	to plant
5194	נֶ֫טַע	ne.ta	plantation
5195	נָטִיעַ	na.ti.a	plant
5196	נְטָעִים	ne.ta.im	Netaim
5197	נָטַף	na.taph	to drip/prophesy
5198	נָטָף	na.taph	drop
5199	נְטֹפָה	ne.to.phah	Netophah
5201	נָטַר	na.tar	to keep
5203	נָטַשׁ	na.tash	to leave
5204	נִי	ni	wailing
5205	נִיד	nid	solace
5206	נִידָה	ni.dah	filth
5207	נִיחֹחַ	ni.cho.ach	soothing
5209	נִין	nin	offspring
5210	נִינְוֵה	nin.veh	Nineveh
5211	נִיס	nis	fugitive
5213	נִיצוֹץ	ni.tsots	spark
5214	נִיר	nir	to break
5215	נִיר	nir	fallow ground
5216	נֵר	ner	lamp
5217	נָכָא	na.kah	to whip
5218	נָכָא	na.ka	stricken
5219	נְכֹאת	ne.khot	tragacanth gum
5220	נֶ֫כֶד	ne.khed	progeny
5221	נָכָה	na.khah	to smite
5222	נֵכֶה	ne.kheh	smitten
5223	נָכֵה	na.kheh	crippled
5224	נְכוֹ	ne.kho	Neco
5225	כִּידֹן	ki.don	Chidon
5227	נֵכַח	ne.khach	before
5228	נָכֹחַ	na.kho.ach	straightforward
5229	נְכֹחָה	ne.kho.chah	upright
5230	נָכַל	na.khal	to plot
5231	נֵ֫כֶל	ne.khel	trick
5233	נְכַס	ne.khas	wealth
5234	נָכַר	na.khar	to recognize
5235	נֶ֫כֶר	ne.kher	misfortune
5236	נֵכָר	ne.khar	foreign
5237	נׇכְרִי	nokh.ri	foreign
5238	נְכֹת	ne.khot	treasure
5239	נָלָה	na.lah	to cease
