strongs	hebrew	translit	gloss
240	אָזֵן	a.zen	weapon
241	אֹ֫זֶן	o.zen	ear
242	אֻזֵּן שֶׁאֱרָה	uz.zen she.e.rah	Uzzen-sheerah
243	אַזְנוֹת תָּבוֹר	az.not ta.vor	Aznoth-tabor
245	אֲזַנְיָ֫הוּ	a.zan.yah	Azaniah
246	אֲזֵק	a.ziq.qim	chains
247	אָזַר	a.zar	to gird
248	אֶזְרוֹעַ	ez.ro.a	arm
249	אֶזְרָח	ez.rach	born
250	אֶזְרָחִי	ez.ra.chi	Ezrahite
251	אָח	ach	brother: male-sibling
253	אָח	ach	ah!
254	אָח	ach	hearth
255	אֹחַ	o.ach	howling animal
256	אַחְאָב	ach.av	Ahab
257	אַחְבָן	ach.van	Ahban
258	אָחַד	a.chad	to go either way
259	אֶחָד	e.chad	one
260	אָחוּ	a.chu	meadow
262	אַחְוָה	ach.vah	declaration
264	אַחֲוָה	a.cha.vah	brotherhood
265	אֲחוֹחַ	a.cho.ach	Ahoah
267	אֲחוּמַי	a.chu.may	Ahumai
268	אָחוֹר	a.chor	back
269	אָחוֹת	a.chot	sister
270	אָחַז	a.chaz	to grasp
271	אָחָז	a.chaz	Ahaz
272	אֲחֻזָּה	a.chuz.zah	possession
274	אֲחַזְיָ֫הוּ	a.chaz.yah	Ahaziah
275	אֲחֻזָּם	a.chuz.zam	Ahuzzam
276	אֲחֻזַּת	a.chuz.zat	Ahuzzath
277	אֲחִי	a.chi	Ahi
278	אֵחִי	e.chi	Ehi
279	אֲחִיאָם	a.chi.am	Ahiam
281	אֲחִיָּ֫הוּ	a.chiy.yah	Ahijah
282	אֲחִיהוּד	a.chi.hud	Ahihud
283	אַחְיוֹ	ach.yo	Ahio
284	אֲחִיחֻד	a.chi.chud	Ahihud
285	אֲחִיטוּב	a.chi.tuv	Ahitub
286	אֲחִילוּד	a.chi.lud	Ahilud
287	אֲחִימוֹת	a.chi.mot	Ahimoth
288	אֲבִימֶ֫לֶךְ	a.vi.me.lekh	Ahimelech
289	אֲחִימַן	a.chi.man	Ahiman
290	אֲחִימַ֫עַץ	a.chi.ma.ats	Ahimaaz
291	אַחְיָן	ach.yan	Ahian
292	אֲחִינָדָב	a.chi.na.dav	Ahinadab
293	אֲחִינֹ֫עַם	a.chi.no.am	Ahinoam
294	אֲחִיסָמָךְ	a.chi.sa.makh	Ahisamach
295	אֲחִיעֶ֫זֶר	a.chi.e.zer	Ahiezer
296	אֲחִיקָם	a.chi.qam	Ahikam
297	אֲחִירָם	a.chi.ram	Ahiram
299	אֲחִירַע	a.chi.ra	Ahira
300	אֲחִישָׁ֑חַר	a.chi.sha.char	Ahishahar
301	אֲחִישָׁר	a.chi.shar	Ahishar
302	אֲחִיתֹ֫פֶל	a.chi.to.phel	Ahithophel
303	אַחְלָב	ach.lav	Ahlab
304	אַחְלָ֑י	ach.lay	Ahlai
305	אַחֲלַי	a.cha.lay	O that!
306	אַחְלָ֑מָה	ach.la.mah	amethyst
307	אַחְמְתָא	ach.me.ta	Ecbatana
308	אֲחַסְבַּי	a.chas.bay	Ahasbai
309	אָחַר	a.char	to delay
310	אַחַר	a.char	after
312	אַחֵר	a.cher	another
313	אַחֵר	a.cher	Aher
314	אַחֲרוֹן	a.cha.ron	last
316	אֲחַרְחֵל	a.char.chel	Aharhel
319	אַחֲרִית	a.cha.rit	end
322	אֲחֹרַנִּית	a.cho.ran.nit	backwards
323	אֲחַשְׁדַּרְפַּן	a.chash.dar.pan	satrap
325	אֲחַשְׁוֵרוֹשׁ	a.chash.ve.rosh	Ahasuerus
326	אֲחַשְׁתָּרִי	a.chash.ta.ri	Haahashtari
327	אֲחַשְׁתְּרָן	a.chash.ta.ran	steed
328	אִטִּי	it.ti	mutterer
329	אָבֵל מִצְרַיִם	a.vel mits.ra.yim	Abel-mizraim
330	אֵטוּן	e.tun	fine linen
331	אָטַם	a.tam	to shutter
332	אָטַר	a.tar	to shut
333	אָטֵר	a.ter	Ater
334	אִטֵּר	it.ter	lefthanded
335	אַי	ay	where?
336	אִי	i	not
337	אִי	i	woe!
338	אִי	i	wild beast
339	אִי	i	coastland
340	אָיַב	a.yav	be hostile
341	אֹיֵב	o.yev	enemy
342	אֵיבָה	e.vah	enmity
343	אֵיד	ed	calamity
344	אַיָּה	ay.yah	falcon
345	אַיָּה	ay.yah	Aiah
346	אַיֵּה	ay.yeh	where?
347	אִיּוֹב	iy.yov	Job
348	אִיזֶבֶל	i.ze.vel	Jezebel
349	אֵיךְ	ekh	how?
350	אִי־כָבוֹד	i-kha.vod	Ichabod
351	אֵיכֹה	e.khoh	where?
352	אַ֫יִל	a.yil	ram
353	אֱיָל	e.yal	strength
354	אַיָּל	ay.yal	deer
355	אַיָּלָה	ay.ya.lah	doe
356	אֵלוֹן	e.lon	Elon
357	אַיָּלוֹן	ay.ya.lon	Aijalon
358	אֵילוֹן בֵּית חָנָן	e.lon bet cha.nan	Elonbeth-hanan
359	אֵילַת	e.lat	Elath
360	אֱיָלוּת	e.ya.lut	strength
361	אֵילָם	e.lam	arches
362	אֵילִם	e.lim	Elim
364	אֵיל פָּארָן	el pa.ran	El-paran
366	אָיֹם	a.yom	terrible
367	אֵימָה	e.mah	terror
368	אֵימִים	e.mim	Emim
369	אַ֫יִן	a.yin	nothing
370	אַ֫יִן	a.yin	where?
371	אִין	in	isn't?
374	אֵיפָה	e.phah	ephah
375	אֵיפֹה	e.phoh	where?
376	אִישׁ	ish	man
377	אשׁשׁ	ish	be manly
378	אִישׁ־בֹ֫שֶׁת	ish-bo.shet	Ish-bosheth
379	אִישְׁהוֹד	ish.hod	Ishhod
380	אִישׁוֹן	i.shon	pupil
384	אִיתִיאֵל	i.ti.el	Ithiel
385	אִיתָמָר	i.ta.mar	Ithamar
386	אֵיתָן	e.tan	strong
387	אֵיתָן	e.tan	Ethan
388	אֵיתָנִים	e.ta.nim	Ethanim
389	אַךְ	akh	surely
390	אַכַּד	ak.kad	Accad
391	אַכְזָב	akh.zav	deceptive
392	אַכְזִיב	akh.ziv	Achzib
393	אַכְזָר	akh.zar	cruel
394	אַכְזָרִי	akh.za.ri	cruel
395	אַכְזְרִיּוּת	akh.ze.riy.yut	cruel
396	אֲכִילָה	a.khi.lah	food
397	אֲבִימֶ֫לֶךְ	a.vi.me.lekh	Abimelech
398	אָכַל	a.khal	to eat
400	אֹ֫כֶל	o.khel	food
401	אֻכָל	u.khal	`worn out`
402	אׇכְלָה	okh.lah	food
403	אָכֵן	a.khen	surely
404	אָכַף	a.khaph	to crave
405	אֶ֫כֶף	e.kheph	burden
406	אִכָּר	ik.kar	farmer
407	אַכְשָׁף	akh.shaph	Achshaph
408	אַל	al	not
410	אֵל	el	El (Berith)
411	אֵל	el	these
413	אֶל	el	to(wards)
414	אֵלָא	e.la	Ela
415	אֵל אֱלֹהֵי יִשְׂרָאֵל	el e.lo.he yis.ra.el	El-Elohe-Israel
416	אֵל בֵּית־אֵל	el bet-el	El-bethel
417	אֶלְגָּבִישׁ	el.ga.vish	hail
418	אַלְגּוּמִּים	al.gum.mim	algum
419	אֶלְדָּד	el.dad	Eldad
420	אֶלְדָּעָה	el.da.ah	Eldaah
421	אָלָה	a.lah	to wail
422	אָלָה	a.lah	to swear
423	אָלָה	a.lah	oath
424	אֵלָה	e.lah	oak
425	אֵלָה	e.lah	Elah
427	אַלָּה	al.lah	oak
428	אֵ֫לֶּה	el.leh	these
432	אִלּוּ	il.lu	except
433	אֱלָהּ	e.lah	god
434	אֱלוּל	e.lul	worthless
435	אֱלוּל	e.lul	Elul
436	אֵלוֹן	e.lon	terebinth
437	אַלּוֹן	al.lon	oak
438	אַלּוֹן	al.lon	oak
439	אַלּוֹן בָּכוּת	al.lon ba.khut	Allon-bacuth
441	אַלּוּף	al.luph	tame
442	אָלוּשׁ	a.lush	Alush
443	אֶלְזָבָד	el.za.vad	Elzabad
444	אָלַח	a.lach	to corrupt
445	אֶלְחָנָן	el.cha.nan	Elhanan
446	אֱלִיאָב	e.li.av	Eliab
447	אֱלִיאֵל	e.li.el	Eliel
448	אֳלִיאָ֫תָה	e.li.a.tah	Eliathah
449	אֱלִידָד	e.li.dad	Elidad
450	אֶלְיָדָע	el.ya.da	Eliada
451	אַלְיָה	al.yah	fat tail
452	אֵלִיָּה	e.liy.yah	Elijah
453	אֱלִיאָב	e.li.av	Eliab
454	אֶלְיְהוֹעֵינַי	el.ye.ho.e.nay	Eliehoenai
455	אֶלְיַחְבָּא	el.yach.ba	Eliahba
456	אֱלִיחֹ֫רֶף	e.li.cho.reph	Elihoreph
457	אֱלִיל	e.lil	idol
458	אֱלִימֶ֫לֶךְ	e.li.me.lekh	Elimelech
460	אֶלְיָסָף	el.ya.saph	Eliasaph
461	אֱלִיעֶ֫זֶר	e.li.e.zer	Eliezer
462	אֱלִיעֵינַי	e.li.e.nay	Elienai
463	אֱלִיעָם	e.li.am	Eliam
464	אֱלִיפַז	e.li.phaz	Eliphaz
465	אֱלִיפָל	e.li.phal	Eliphal
466	אֱלִיפְלֵ֫הוּ	e.liph.le.hu	Eliphelehu
467	אֲלִיפֶ֫לֶט	e.li.phe.let	Eliphelet
468	אֱלִיצוּר	e.li.tsur	Elizur
469	אֱלִיצָפָן	e.li.tsa.phan	Elizaphan
470	אֱלִיקָא	e.li.qa	Elika
471	אֶלְיָקִים	el.ya.qim	Eliakim
472	אֱלִישֶׁ֫בַע	e.li.she.va	Elisheba
473	אֱלִישָׁה	e.li.shah	Elishah
474	אֱלִישׁוּעַ	e.li.shu.a	Elishua
475	אֶלְיָשִׁיב	el.ya.shiv	Eliashib
476	אֱלִישָׁמָע	e.li.sha.ma	Elishama
477	אֱלִישָׁע	e.li.sah	Elisha
478	אֱלִישָׁפָט	e.li.sha.phat	Elishaphat
480	אֲלוּ	a.lu	behold
481	אָלַם	a.lam	be dumb
482	אֵ֫לֶם	e.lem	silence
483	אִלֵּם	il.lem	mute
484	אַלְמֻגִּים	al.mug.gim	almug
485	אֲלֻמָה	a.lum.mah	sheaf
486	אַלְמוֹדָד	al.mo.dad	Almodad
487	אַלַּמֶּלֶךְ	al.lam.me.lekh	Allammelech
488	אַלְמָן	al.man	forsaken
489	אַלְמֹן	al.mon	widower
490	אַלְמָנָה	al.ma.nah	widow
491	אַלְמָנוּת	al.ma.nut	widowhood
492	אַלְמֹנִי	al.mo.ni	someone
493	אֶלְנָ֑עַם	el.na.am	Elnaam
494	אֶלְנָתָן	el.na.tan	Elnathan
495	אֶלָּסָר	el.la.sar	Ellasar
496	אֶלְעָד	el.ad	Elead
497	אֶלְעָדָה	el.a.dah	Eleadah
498	אֶלְעוּזַי	el.u.zay	Eluzai
499	אֶלְעָזָר	el.a.zar	Eleazar
500	אֶלְעָלֵא	el.a.le	Elealeh
501	אֶלְעָשָׂה	el.a.sah	Eleasah
502	אָלַף	a.laph	to teach/learn
503	אָלַף	a.laph	to produce thousands
504	אֶ֫לֶף	e.leph	cattle
505	אֶ֫לֶף	e.leph	thousand
507	הָאֶ֫לֶף	e.leph	Haeleph
508	אֶלְפַּ֫עַל	el.pa.al	Elpaal
509	אָלַץ	a.lats	to urge
510	אַלְקוּם	al.qum	army
511	אֶלְקָנָה	el.qa.nah	Elkanah
512	אֶלְקֹשִׁי	el.qo.shi	Elkoshite
513	אֶלְתּוֹלַד	el.to.lad	Eltolad
514	אֶלְתְּקֵא	el.te.qe	Eltekeh
515	אֶלְתְּקֹן	el.te.qon	Eltekon
516	אַל תַּשְׁחֵת	al tash.chet	Do Not Destroy
517	אֵם	em	mother
518	אִם	im	if
519	אָמָה	a.mah	maidservant
520	אַמָּה	am.mah	cubit
522	אַמָּה	am.mah	Ammah
523	אֻמָּה	um.mah	people
525	אָמוֹן	a.mon	artisan
526	אָמוֹן	a.mon	Amon
527	אָמוֹן	a.mon	multitude
528	אָמוֹן	a.mon	Amon
529	אֵמֻן	e.mun	faithful
530	אֱמוּנָה	e.mu.nah	faithfulness
531	אָמוֹץ	a.mots	Amoz
532	אָמוֹן	a.mon	Amon
533	אַמִּיץ	am.mits	strong
534	אָמִיר	a.mir	top
535	אָמַל	a.mal	to weaken
536	אֻמְלַל	um.lal	weak
537	אֲמֵלָל	a.me.lal	weak
538	אֲמָם	a.mam	Amam
539	אָמַן	a.man	be faithful
542	אָמָּן	a.man	artisan
543	אָמֵן	a.men	amen
544	אֹ֫מֶן	o.men	faithfulness
545	אׇמְנָה	om.nah	brought up
546	אׇמְנָה	om.nah	truly
547	אֹמְנָה	o.me.nah	pillar
548	אֲמָנָה	a.ma.nah	sure
549	אֲמָנָה	a.ma.nah	Amana
